id,company,robot,country,website,x,linkedin,youtube,careers,b2b_client,stock,valuation,investors,rounds,release,height_cm,weight_kg,walk_kmh,run_kmh,payload_kg,power_hours,software,voice,clothed
estun-codroid-codroid,Estun Codroid,Codroid,China,https://www.codroid.ai/en/,,,,,,Private,,,,2025,170,70,,,,,,,No
figure-02,Figure,02,USA,https://www.figure.ai/,https://x.com/Figure_robot,https://www.linkedin.com/company/figure-ai/,https://youtu.be/0SRVJaOg9Co,https://www.figure.ai/careers,BMW,Private,"2,600,000,000.00","NVIDIA, Microsoft, Amazon, Intel, OpenAI, ARK","675,000,000.00",2024,167,70,4.3,4.3,20,5,Helix / end-to-end visuomotor AI; 6 RGB cameras,,Yes
foundation-phantom-mk1,Foundation,Phantom MK1,USA,https://foundation.bot/,https://x.com/foundation_robo,https://www.linkedin.com/company/foundation-bot/,https://www.youtube.com/watch?v=I8EueTtvSuM,,,Private,,,,2025,175,65,,,,,,,No
fourier-gr-1,Fourier,GR-1,Singapore,https://fftai.com/,https://x.com/FourierRobots,https://www.linkedin.com/showcase/fourier-rehab/,https://youtu.be/SHPxcRBlXN0,,,Private,,,,2023,165,55,5,5,50,,,,No
gac-group-gomate,GAC Group,GoMate,China,https://www.gac.com.cn/,,,,,,HKG:2238,,,,,,,,,,,,,No
galaxea-r1,Galaxea,R1,China,https://galaxea-dynamics.com/,https://x.com/GalaxeaDynamics,,,,,Private,,,,,170,80,,,5,,550 TOPS; VLM/VLA robotics stack,,No
galbot-g1,Galbot,G1,China,https://www.galbot.com/,https://x.com/GalbotRobotics,,https://www.youtube.com/watch?v=9ML9mOcHSQA,,,Private,,,,2025,173,85,,,5,10,AI-driven control; multimodal perception; voice recognition,,No
generative-bionics-gene-01,Generative Bionics,GENE.01,Italy,https://gbionics.ai/,,,,,"Industrial, collaborative robotics",Private,,AMD,"81,000,000.00",2026,170,70,4,4,6.5,4,Custom robotics OS; AMD compute; tactile skin,,No
goblin-gbln-01,Goblin,GBLN-01,USA,https://www.goblinrobotics.com/,https://x.com/GoblinRobotics,https://www.linkedin.com/company/goblinrobotics/,https://www.youtube.com/watch?v=Wxni1ceGN1c,,,Private,,,,,,,,,,,,,
hanson-sophia,Hanson,Sophia,Hong Kong,https://www.hansonrobotics.com/,,,,,,Private,,,,2016,167,21,,,,,,,Yes
heima-adam,Heima,Adam,,https://www.heimarobotics.com/,,,,,,Private,,,,,,,,,,,,,
hexagon-aeon,Hexagon,AEON,Sweden,https://hexagon.com/company/newsroom/press-releases/2025/hexagon-launches-aeon-a-humanoid-built-for-industry,https://x.com/HexagonAB,,,,"Industrial inspection, quality control, reality capture, operator tasks",STO:HEXA-B,,,,2025,165,60,8.6,8.6,15,4,AI motion control; multimodal sensor fusion; 3D spatial intelligence,,No
holiday-friday,Holiday,Friday,,https://holiday-robotics.com/,,,,,,Private,,,,,176,115,,,,,,,No
igus-iggy-rob,Igus,Iggy Rob,,https://www.igus.com/automation/news/humanoid-robot,,,,,,Private,,,,,,,,,,,,,
ihmc-robotics-nadia,IHMC Robotics,Nadia,,https://robots.ihmc.us/nadia,,,,,,Private,,,,,,,,,,,,,
intbot-nylo,IntBot,Nylo,USA,https://intbot.ai,https://x.com/intbotai,,https://www.youtube.com/watch?v=41NRPjXLDKU,,,Private,,,,,,,,,,,,,
k-scale-labs-k-bot,K-Scale Labs,K-bot,USA,https://shop.kscale.dev/,https://x.com/kscalelabs,,,,"Researchers, developers, hobbyists",Private,,"Y Combinator, GFT Ventures, Pioneer Fund, AI Grant, Lux Capital, OpenAI nonprofit","4,750,000.00",2025,140,34,,,10,4,K-OS open-source stack,,No
kepler-forerunner,Kepler,Forerunner,China,https://www.gotokepler.com/home,https://x.com/BotKepler,https://www.linkedin.com/company/kepler-exploration-robotics/,https://youtu.be/A5vshTgDbKE,,,Private,,,,2024,178,85,,,,,,,No
kinisi-kinisi-01-kr1,Kinisi,Kinisi 01 / KR1,USA / UK,https://www.kinisi.com/,https://x.com/KinisiRobotics,,,,"Warehouse automation, logistics, light manufacturing",Private,,,,2025,162,100,8.6,8.6,25,6-8,NVIDIA Jetson; stereo depth + LiDAR SLAM,,No
